path,classification,canonical_source_or_build_owner,audience,source_sha_or_evidence,status,finding_or_action,verification_command,publication_destination
.github/workflows/README.md,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
.github/workflows/blueprint-verify-dispatch.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/blueprint-verify.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/ci-minimal.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/docker-build.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/docs-and-strict.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/executive-mini-pack-check.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/hosted-deploy.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/netsuite-live.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/openapi-export.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/performance-budgets.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
.github/workflows/reviewer-mirror.yml,active canonical,GitHub Actions workflow,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,git diff --check; owning build/audit,repository; external copy only after explicit approval
AGENTS.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
CHANGELOG.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
CLAUDE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
CONTRIBUTING.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
COVERAGE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
EVALUATION.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
GETTING-STARTED.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
README.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
REPOSITORY-GUIDELINES.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
REVIEWER-GUIDE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
REVIEWER-MIRROR-README.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
SQUIRE_BUSINESS_CASE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
SuiteCentral-2.0-Speaker-Notes.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
TYPE-SAFETY.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/01_VISION_DOCUMENT.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/AGENTS.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/ALIGNMENT_CONTEXT.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/CHANGELOG.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/CODEX-WORKING-NOTES.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
docs/DEMO-LIVE-MODE.md,active canonical,repository documentation,maintainers and users,21a12da4f45c628696222a9c442abd7aa73f7286,inventoried; verification tracked in closeout,retain; repair or regenerate when identified by gates,node scripts/check-inbound-links.mjs,repository; external copy only after explicit approval
