operation,classification,evidence,action
DELETE /api/ai-config/providers/{id},documented elsewhere,docs/ai-systems/AI_PROVIDER_SYSTEM.md; docs/sessions/2025-11-09-ai-provider-integration-tests.md; docs/tutorials/comprehensive-ai-configuration-guide.md,retain baseline until represented in openapi.full.yaml
DELETE /api/connector-credentials/{connectorid}/{environment},documented elsewhere,docs/api/API-DOCUMENTATION.md; docs/architecture/ARCHITECTURE.md; docs/operations/DEPLOYMENT-GUIDE.md,retain baseline until represented in openapi.full.yaml
DELETE /api/customer-central/customers/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
DELETE /api/dashboard/mappings/templates/{key},documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/tutorials/ADMIN-TEMPLATES.md,retain baseline until represented in openapi.full.yaml
DELETE /api/dashboard/templates/{key},documented elsewhere,docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md; docs/review/route-tenant-coverage.md; docs/superpowers/plans/2026-07-18-f0-route-policy-schema.md,retain baseline until represented in openapi.full.yaml
DELETE /api/embedded/sessions/{id},documented elsewhere,docs/architecture/embedded-erp-surface-contract.md; docs/plans/2026-05-01-a-grade-remediation-plan-merged.md; docs/plans/2026-05-19-pr-4b-centralize-tenant-middleware-plan.md,retain baseline until represented in openapi.full.yaml
DELETE /api/hubspot/companies/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
DELETE /api/hubspot/contacts/{id},documented elsewhere,docs/superpowers/plans/2026-05-25-pr-13b-direct-write-ownership-enforcement.md; docs/superpowers/plans/2026-05-27-pr-13c-deferred-scope-followups.md; docs/superpowers/plans/2026-07-26-f4-erp-write-families-strict.md,retain baseline until represented in openapi.full.yaml
DELETE /api/hubspot/deals/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
DELETE /api/hubspot/tickets/{id},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
DELETE /api/integrations/api/integrations/{id}/webhooks/{webhookid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
DELETE /api/integrations/{id}/webhooks/{webhookid},documented elsewhere,docs/CHANGELOG.md; docs/api/API-DOCUMENTATION.md; docs/api/ENDPOINT-REGISTRY.md,retain baseline until represented in openapi.full.yaml
DELETE /api/mappings/templates/{key},documented elsewhere,docs/api/ENDPOINT-REGISTRY.md; docs/developer/DEVELOPER_GUIDE.md; docs/features/README.md,retain baseline until represented in openapi.full.yaml
DELETE /api/mcp/policies/{id},documented elsewhere,docs/CHANGELOG.md; docs/MCP-USER-SETTINGS-GUIDE.md; docs/api/API-DOCUMENTATION.md,retain baseline until represented in openapi.full.yaml
DELETE /api/mdm/rules/{id},documented elsewhere,docs/CHANGELOG.md; docs/api/ENDPOINT-REGISTRY.md; docs/features/MDM-FEATURE-GUIDE.md,retain baseline until represented in openapi.full.yaml
DELETE /api/payment-central/dunning/schedules/{scheduleid},active documentation gap,.openapi-route-coverage-baseline; no active Markdown path match,document or remove route in a scoped API-contract lane
DELETE /api/persistence/templates/{id},documented elsewhere,docs/milestones/ai-security-enhancement-complete.md,retain baseline until represented in openapi.full.yaml
DELETE /api/reconciliation-center/schedules/{id},documented elsewhere,docs/superpowers/plans/2026-05-30-reconciliation-embedded-followups.md; docs/superpowers/plans/2026-05-30-reconciliation-schedule-crud.md; docs/superpowers/specs/2026-05-30-reconciliation-embedded-followups-design.md,retain baseline until represented in openapi.full.yaml
DELETE /api/suitecentral/prod/connector/webhooks/{webhookid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
DELETE /api/suitecentral/prod/credentials/{profileid},documented elsewhere,docs/developer/api-reference.md,retain baseline until represented in openapi.full.yaml
